Q,td,tr1090,tr2080,tr3070
0.1,1.108199220914176,3.461666421524155,2.184067119655819,1.334891916491924
0.1006438004858868,1.101176064204483,3.439063615740167,2.169804321592392,1.326179781195332
0.1012917457624298,1.094197621675147,3.416602733947015,2.155633511866826,1.317513120753424
0.1019438625138115,1.087263504551757,3.394282679378847,2.141554170378179,1.30891360767252
0.1026001775960072,1.080375271446514,3.37210231559682,2.127560833549049,1.300352267941388
0.103260718037891,1.073534704354358,3.35006046604411,2.113651590958586,1.291860930864189
0.1039255110423491,1.06673758246782,3.328158894619598,2.099832074426514,1.283406845297403
0.1045945839874,1.059983505032945,3.306394527195088,2.086101697721606,1.275018550686453
0.1052679644273221,1.053272067346134,3.284763584439256,2.072452528553204,1.266674215033508
0.1059456800937884,1.046602860695183,3.263266871915419,2.058887390955133,1.258386440966556
0.1066277588970082,1.039975472301069,3.24190301482934,2.045409446710372,1.250151610223553
0.1073142289268773,1.033397089520369,3.22067330710748,2.032020694421623,1.241961739970981
0.1080051184541342,1.026860148433144,3.19958191002489,2.018710235219799,1.233831259981136
0.1087004559315245,1.020364093552622,3.178619882245108,2.005482903486307,1.225741450851397
0.1094002699949728,1.013908498438728,3.157785684517303,1.992340536629366,1.217711743921007
0.1101045894647618,1.007492932290744,3.137085362851175,1.979282411029905,1.209727039522127
0.1108134433467196,1.001123277595479,3.116513193594135,1.966299178791752,1.201792438704787
0.1115268608334136,0.9947959706223422,3.096063322600762,1.953396106075752,1.193912248306046
0.1122448713053534,0.9885077211293908,3.075743837266884,1.94057490532791,1.186070005838813
0.1129675043322002,0.9822580834761446,3.055553553958295,1.927837569229282,1.178288104775693
0.1136947896739851,0.9760468780541264,3.035482811928121,1.915178607223866,1.170551124674307
0.1144267572823341,0.9698837866316075,3.015545640655539,1.902595882980506,1.162856135556022
0.1151634373017023,0.9637583029372683,2.995728159025491,1.890092266663839,1.155220499497358
0.1159048600706145,0.9576699655595491,2.976034799566049,1.877666882468471,1.147621803705575
0.1166510561229155,0.9516183082223222,2.956466582859347,1.865317242785455,1.140072452416598
0.1174020561890269,0.9456124815083425,2.93701529142899,1.853045768599669,1.13258018319638
0.1181578911972129,0.9396450377724228,2.917687334361209,1.8408503621276,1.125119449193921
0.1189185922748541,0.9337132227871345,2.898472912519623,1.828730069591463,1.117709972639269
0.1196841907497293,0.927816553378918,2.879385355423191,1.816686809470894,1.110353871946697
0.1204547181513057,0.9219665893020317,2.86041037314836,1.80471648627796,1.103034764234452
0.1212302062120374,0.9161522997416717,2.841558371388491,1.792818900519892,1.095763830405968
0.122010686868672,0.9103720657076452,2.822820969739646,1.780993017415755,1.088537674119345
0.1227961922635663,0.9046293187321857,2.804199382856539,1.769250537838655,1.081357793486103
0.1235867547460096,0.8989301864909089,2.785697482633932,1.757575152800622,1.074225596904399
0.1243824068735561,0.893263991443761,2.767302544305617,1.745963929153962,1.067125065507271
0.1251831814133657,0.887630219476248,2.749032163399749,1.734433650717816,1.060077894477805
0.1259891113435535,0.8820414491103055,2.730866684484357,1.722975523574818,1.053080802139825
0.1268002298545477,0.8764868398512996,2.71280899409943,1.711583814671194,1.0461136491012
0.1276165703504568,0.8709634918923392,2.694872156428589,1.700265690567966,1.039193347878585
0.1284381664504451,0.8654805616304675,2.677040966054651,1.689012477179268,1.032317734674397
0.1292650519901171,0.8600350239895026,2.659315748000257,1.6778294529726,1.025483179393362
0.1300972610229112,0.8546195540919616,2.64171087389421,1.666723527359907,1.01869484353641
0.1309348278215021,0.8492418951627967,2.624210692051974,1.655678689320557,1.011948508590637
0.1317777868792119,0.8439028498126483,2.606815020158404,1.644704096584457,1.005234232411708
0.1326261729114311,0.8385926453891357,2.589527968624982,1.633792134401605,0.998565750689092
0.133480020857048,0.8333197068791822,2.572353448632147,1.62295253068214,0.9919433544839765
0.1343393658798873,0.8280845051321518,2.555282209938702,1.61218126443803,0.9853564146925162
0.1352042433701593,0.8228768827657459,2.538312827094482,1.601475593811308,0.9788145229755694
0.1360746889459159,0.8177081288606606,2.521443129354426,1.590831600456624,0.9723146899232376
0.1369507384545186,0.812574048456833,2.504681604466797,1.580249490126204,0.9658444692919876
0.1378324279741143,0.8074662497081821,2.488025759180859,1.569740862898183,0.959418783650605
0.1387197938151212,0.8024011568320168,2.471471067037177,1.559291943883812,0.953037033533465
0.1396128725217241,0.7973653977290834,2.455017160187867,1.548915904295507,0.9466819902666055
0.1405117008733794,0.792357150078269,2.438663650421542,1.538590250857607,0.9403759765702353
0.14141631588633,0.787392638801454,2.422410128745261,1.528332978840766,0.9341142335408348
0.1423267548151293,0.7824523189770825,2.406256164969845,1.518137320715314,0.9278810452239696
0.143243055154176,0.7775469058413538,2.390201307298618,1.508006527894181,0.9216877232464535
0.1441652546392576,0.7726762636264987,2.374247152401462,1.497941618389994,0.9155372861572035
0.1450933912491051,0.7678284149051936,2.358392513341608,1.4879293999381,0.9094197770653243
0.1460275032069564,0.763025339819426,2.342634768275028,1.477983498164253,0.9033365194599775
0.1469676289821311,0.7582455495298853,2.326971337281786,1.468089600506066,0.8972954704323977
0.1479138072916143,0.7534984662941936,2.311402004657228,1.458267851273425,0.8912930425324245
0.1488660771016513,0.7487858811662171,2.29592785880534,1.448502514316517,0.8853178468850854
0.1498244776293523,0.7440945586564692,2.280548276253954,1.438796138220724,0.8793841331595573
0.1507890483443074,0.7394483121154056,2.265262608922505,1.429149774040467,0.8734916984967094
0.1517598289702121,0.7348217694596632,2.250070183771637,1.41955285866717,0.8676268298245899
