s,ctot,cc,carea,cfrg
0.112,0.5838,0.1450,0.2531,0.0132
0.14,0.5321,0.1232,0.2531,0.0161
0.42,0.4025,0.0336,0.2531,0.0404
0.70,0.3888,0.0133,0.2531,0.0545
0.98,0.3866,0.0055,0.2531,0.0613
1.26,0.3863,0.0023,0.2531,0.0644
1.54,0.3862,0.0009,0.2531,0.0657
1.82,0.3862,0.0004,0.2531,0.0662
