s,ctot,cc,carea,cfrg
0.112,0.3774,0.1570,0.0354,0.0139
0.14,0.3138,0.1216,0.0354,0.0174
0.42,0.1871,0.0347,0.0354,0.0411
0.70,0.1731,0.0136,0.0354,0.0554
0.98,0.1709,0.0054,0.0354,0.0623
1.26,0.1706,0.0022,0.0354,0.0654
1.54,0.1705,0.0009,0.0354,0.0667
1.82,0.1705,0.0004,0.0354,0.0672
